gloss,video_id,video_path,signer_id,frame_start,frame_end,fps,bbox,split,gloss_id
drive,personal_1753368200,my_recorded_signs\drive_1753368200.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260373,my_recorded_signs\drive_1753260373.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260728,my_recorded_signs\drive_1753260728.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260484,my_recorded_signs\drive_1753260484.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260494,my_recorded_signs\drive_1753260494.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260690,my_recorded_signs\drive_1753260690.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260670,my_recorded_signs\drive_1753260670.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260475,my_recorded_signs\drive_1753260475.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260587,my_recorded_signs\drive_1753260587.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260466,my_recorded_signs\drive_1753260466.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260700,my_recorded_signs\drive_1753260700.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260415,my_recorded_signs\drive_1753260415.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260342,my_recorded_signs\drive_1753260342.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260736,my_recorded_signs\drive_1753260736.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753368209,my_recorded_signs\drive_1753368209.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260440,my_recorded_signs\drive_1753260440.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260351,my_recorded_signs\drive_1753260351.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260523,my_recorded_signs\drive_1753260523.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260406,my_recorded_signs\drive_1753260406.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260661,my_recorded_signs\drive_1753260661.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260652,my_recorded_signs\drive_1753260652.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753368175,my_recorded_signs\drive_1753368175.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260458,my_recorded_signs\drive_1753260458.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753368217,my_recorded_signs\drive_1753368217.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260359,my_recorded_signs\drive_1753260359.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753368165,my_recorded_signs\drive_1753368165.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260541,my_recorded_signs\drive_1753260541.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260432,my_recorded_signs\drive_1753260432.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260513,my_recorded_signs\drive_1753260513.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260504,my_recorded_signs\drive_1753260504.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260559,my_recorded_signs\drive_1753260559.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260550,my_recorded_signs\drive_1753260550.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260679,my_recorded_signs\drive_1753260679.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753368236,my_recorded_signs\drive_1753368236.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260390,my_recorded_signs\drive_1753260390.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260398,my_recorded_signs\drive_1753260398.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753368227,my_recorded_signs\drive_1753368227.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260711,my_recorded_signs\drive_1753260711.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260532,my_recorded_signs\drive_1753260532.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,0
drive,personal_1753260596,my_recorded_signs\drive_1753260596.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
drive,personal_1753368253,my_recorded_signs\drive_1753368253.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
drive,personal_1753368192,my_recorded_signs\drive_1753368192.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
drive,personal_1753260719,my_recorded_signs\drive_1753260719.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
drive,personal_1753260624,my_recorded_signs\drive_1753260624.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
drive,personal_1753260423,my_recorded_signs\drive_1753260423.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
drive,personal_1753368183,my_recorded_signs\drive_1753368183.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
drive,personal_1753260633,my_recorded_signs\drive_1753260633.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
drive,personal_1753260569,my_recorded_signs\drive_1753260569.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",val,0
drive,personal_1753260333,my_recorded_signs\drive_1753260333.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",test,0
drive,personal_1753260381,my_recorded_signs\drive_1753260381.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",test,0
drive,personal_1753260605,my_recorded_signs\drive_1753260605.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",test,0
drive,personal_1753260448,my_recorded_signs\drive_1753260448.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",test,0
drive,personal_1753260643,my_recorded_signs\drive_1753260643.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",test,0
drive,personal_1753368245,my_recorded_signs\drive_1753368245.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",test,0
drive,personal_1753260578,my_recorded_signs\drive_1753260578.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",test,0
drive,personal_1753260614,my_recorded_signs\drive_1753260614.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",test,0
drive,personal_1753260745,my_recorded_signs\drive_1753260745.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",test,0
black,personal_1753175331,my_recorded_signs\black_1753175331.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753175308,my_recorded_signs\black_1753175308.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753183331,my_recorded_signs\black_1753183331.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753183409,my_recorded_signs\black_1753183409.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753085725,my_recorded_signs\black_1753085725.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753085581,my_recorded_signs\black_1753085581.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753085756,my_recorded_signs\black_1753085756.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753085637,my_recorded_signs\black_1753085637.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753366707,my_recorded_signs\black_1753366707.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753366725,my_recorded_signs\black_1753366725.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753085715,my_recorded_signs\black_1753085715.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753085605,my_recorded_signs\black_1753085605.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753183470,my_recorded_signs\black_1753183470.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753085684,my_recorded_signs\black_1753085684.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753085673,my_recorded_signs\black_1753085673.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753183377,my_recorded_signs\black_1753183377.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753183479,my_recorded_signs\black_1753183479.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753085616,my_recorded_signs\black_1753085616.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753085695,my_recorded_signs\black_1753085695.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753366699,my_recorded_signs\black_1753366699.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753085648,my_recorded_signs\black_1753085648.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753085660,my_recorded_signs\black_1753085660.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753366672,my_recorded_signs\black_1753366672.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
black,personal_1753085787,my_recorded_signs\black_1753085787.npy,personal_user,1,-1,25,"[0, 0, 0, 0]",train,1
