gloss,gloss_id,video_id,video_path,signer_id,split,frame_start,frame_end,fps,bbox
drink,0,69302,.\videos\69302.mp4,115,val,1,-1,25,"[551, 68, 1350, 1080]"
drink,0,65539,.\videos\65539.mp4,94,train,1,-1,25,"[153, 11, 488, 370]"
drink,0,17710,.\videos\17710.mp4,36,train,1,-1,25,"[196, 15, 521, 414]"
drink,0,17733,.\videos\17733.mp4,12,train,1,-1,25,"[186, 63, 551, 400]"
drink,0,65540,.\videos\65540.mp4,94,train,1,-1,25,"[167, 19, 480, 370]"
drink,0,17734,.\videos\17734.mp4,12,val,1,-1,25,"[183, 55, 552, 400]"
drink,0,17711,.\videos\17711.mp4,52,train,1,-1,25,"[289, 9, 783, 480]"
drink,0,17712,.\videos\17712.mp4,6,train,1,-1,25,"[673, 90, 1571, 1072]"
drink,0,17713,.\videos\17713.mp4,21,test,1,-1,25,"[28, 0, 542, 480]"
drink,0,17709,.\videos\17709.mp4,2,train,1,-1,25,"[41, 9, 257, 240]"
drink,0,17720,.\videos\17720.mp4,11,train,1,-1,25,"[49, 3, 220, 192]"
drink,0,17721,.\videos\17721.mp4,10,train,1,-1,25,"[66, 19, 209, 192]"
drink,0,17722,.\videos\17722.mp4,10,train,1,-1,25,"[66, 19, 209, 192]"
drink,0,17723,.\videos\17723.mp4,10,train,1,-1,25,"[65, 20, 208, 192]"
drink,0,17724,.\videos\17724.mp4,11,val,1,-1,25,"[68, 18, 220, 192]"
computer,1,12328,.\videos\12328.mp4,11,train,1,-1,25,"[56, 11, 240, 192]"
computer,1,12312,.\videos\12312.mp4,38,val,1,-1,25,"[422, 50, 824, 720]"
computer,1,12311,.\videos\12311.mp4,56,train,1,-1,25,"[27, 0, 313, 240]"
computer,1,12338,.\videos\12338.mp4,41,train,1,-1,25,"[221, 42, 501, 400]"
computer,1,12313,.\videos\12313.mp4,38,train,1,-1,25,"[409, 51, 833, 720]"
computer,1,12314,.\videos\12314.mp4,4,train,1,-1,25,"[257, 38, 1684, 1080]"
computer,1,12315,.\videos\12315.mp4,4,val,1,-1,25,"[436, 35, 1765, 1080]"
computer,1,12316,.\videos\12316.mp4,4,train,1,-1,25,"[412, 18, 1698, 1080]"
computer,1,12317,.\videos\12317.mp4,4,train,1,-1,25,"[473, 44, 1708, 1080]"
computer,1,12318,.\videos\12318.mp4,4,train,1,-1,25,"[365, 45, 1673, 1080]"
computer,1,12319,.\videos\12319.mp4,45,train,1,-1,25,"[494, 99, 1414, 1077]"
computer,1,12320,.\videos\12320.mp4,59,test,1,-1,25,"[74, 19, 565, 480]"
